# Marigo+Girardi / Washington CMT1T2 / t=10000
#z	C	T1	C-T1
0.001	13.858	10.793	3.065
0.001	12.601	9.96	2.641
0.001	11.97	9.453	2.517
0.001	11.479	9.057	2.422
0.001	11.068	8.726	2.342
0.001	10.597	8.337	2.26
0.001	10.159	7.997	2.162
0.001	9.671	7.627	2.044
0.001	9.08	7.211	1.869
0.001	8.429	6.777	1.652
0.001	7.149	5.966	1.183
0.001	6.126	5.299	0.827
0.001	5.359	4.718	0.641
0.001	4.743	4.221	0.522
0.001	4.189	3.758	0.431
0.001	3.696	3.373	0.323
0.001	3.262	3.058	0.204
0.001	2.926	2.832	0.094
0.001	2.633	2.633	0
0.001	2.404	2.482	-0.078
0.001	2.284	2.395	-0.111
0.001	2.194	2.337	-0.143
0.001	2.093	2.264	-0.171
0.001	2.024	2.221	-0.197
0.001	1.861	2.103	-0.242
0.001	1.71	1.991	-0.281
0.001	1.448	1.791	-0.343
0.001	1.102	1.52	-0.418
0.001	0.623	1.128	-0.505
0.001	0.219	0.79	-0.571
0.001	-0.123	0.499	-0.622
0.001	-0.422	0.245	-0.667
0.001	-0.685	0.019	-0.704
0.001	-1.136	-0.37	-0.766
0.001	-1.527	-0.712	-0.815
0.001	-2.025	-1.144	-0.881
0.001	-2.449	-1.518	-0.931
0.001	-2.929	-1.947	-0.982
0.001	-3.502	-2.474	-1.028
0.001	-4.097	-3.044	-1.053
0.001	-4.786	-3.709	-1.077
0.001	-5.252	-4.16	-1.092
0.001	-6.009	-4.906	-1.103
0.001	-6.522	-5.415	-1.107
0.004	14.444	11.173	3.271
0.004	13.025	10.174	2.851
0.004	12.283	9.606	2.677
0.004	11.774	9.186	2.588
0.004	11.367	8.845	2.522
0.004	10.944	8.468	2.476
0.004	10.576	8.166	2.41
0.004	10.137	7.817	2.32
0.004	9.632	7.43	2.202
0.004	9.093	7.035	2.058
0.004	7.832	6.198	1.634
0.004	6.696	5.485	1.211
0.004	5.813	4.9	0.913
0.004	5.095	4.369	0.726
0.004	4.49	3.894	0.596
0.004	3.974	3.48	0.494
0.004	3.507	3.123	0.384
0.004	3.095	2.827	0.268
0.004	2.754	2.597	0.157
0.004	2.464	2.407	0.057
0.004	2.221	2.243	-0.022
0.004	2.011	2.095	-0.084
0.004	1.834	1.973	-0.139
0.004	1.659	1.846	-0.187
0.004	1.378	1.636	-0.258
0.004	1.008	1.349	-0.341
0.004	0.5	0.939	-0.439
0.004	0.09	0.602	-0.512
0.004	-0.264	0.308	-0.572
0.004	-0.557	0.061	-0.618
0.004	-0.818	-0.157	-0.661
0.004	-1.281	-0.553	-0.728
0.004	-1.675	-0.89	-0.785
0.004	-2.326	-1.463	-0.863
0.004	-3.067	-2.115	-0.952
0.004	-3.637	-2.63	-1.007
0.004	-4.27	-3.227	-1.043
0.004	-4.993	-3.92	-1.073
0.004	-5.457	-4.37	-1.087
0.004	-6.071	-4.968	-1.103
0.008	14.899	11.57	3.329
0.008	13.732	10.645	3.087
0.008	12.994	10.055	2.939
0.008	12.442	9.601	2.841
0.008	11.984	9.223	2.761
0.008	11.497	8.807	2.69
0.008	11.08	8.458	2.622
0.008	10.636	8.086	2.55
0.008	10.145	7.691	2.454
0.008	9.655	7.317	2.338
0.008	8.498	6.502	1.996
0.008	7.256	5.722	1.534
0.008	6.252	5.084	1.168
0.008	5.492	4.553	0.939
0.008	4.799	4.041	0.758
0.008	4.239	3.608	0.631
0.008	3.747	3.224	0.523
0.008	3.314	2.905	0.409
0.008	2.926	2.63	0.296
0.008	2.6	2.414	0.186
0.008	2.318	2.226	0.092
0.008	2.094	2.075	0.019
0.008	1.883	1.932	-0.049
0.008	1.702	1.801	-0.099
0.008	1.387	1.572	-0.185
0.008	0.991	1.27	-0.279
0.008	0.455	0.845	-0.39
0.008	0.031	0.502	-0.471
0.008	-0.32	0.213	-0.533
0.008	-0.622	-0.038	-0.584
0.008	-0.887	-0.258	-0.629
0.008	-1.357	-0.656	-0.701
0.008	-1.753	-0.991	-0.762
0.008	-2.415	-1.571	-0.844
0.008	-3.155	-2.219	-0.936
0.008	-3.725	-2.728	-0.997
0.008	-4.373	-3.334	-1.039
0.008	-5.102	-4.033	-1.069
0.008	-5.567	-4.482	-1.085
0.008	-6.176	-5.074	-1.102
0.0098	15.008	11.696	3.312
0.0098	13.87	10.766	3.104
0.0098	13.139	10.178	2.961
0.0098	12.573	9.713	2.86
0.0098	12.116	9.328	2.788
0.0098	11.636	8.912	2.724
0.0098	11.184	8.534	2.65
0.0098	10.751	8.166	2.585
0.0098	10.281	7.768	2.513
0.0098	9.797	7.395	2.402
0.0098	8.671	6.588	2.083
0.0098	7.213	5.653	1.56
0.0098	5.898	4.796	1.102
0.0098	3.506	3.031	0.475
0.0098	3.1	2.731	0.369
0.0098	2.669	2.43	0.239
0.0098	2.306	2.188	0.118
0.0098	2.058	2.022	0.036
0.0098	1.855	1.88	-0.025
0.0098	1.402	1.557	-0.155
0.0098	0.994	1.25	-0.256
0.0098	0.446	0.818	-0.372
0.0098	0.015	0.471	-0.456
0.0098	-0.34	0.18	-0.52
0.0098	-0.643	-0.07	-0.573
0.0098	-0.913	-0.293	-0.62
0.0098	-1.388	-0.694	-0.694
0.0098	-1.785	-1.03	-0.755
0.0098	-2.457	-1.618	-0.839
0.0098	-3.631	-2.651	-0.98
0.0098	-4.27	-3.241	-1.029
0.0098	-4.982	-3.92	-1.062
0.0098	-5.51	-4.429	-1.081
0.0098	-6.234	-5.133	-1.101
0.0138	15.179	11.908	3.271
0.0138	14.084	10.973	3.111
0.0138	13.372	10.385	2.987
0.0138	12.806	9.92	2.886
0.0138	12.327	9.522	2.805
0.0138	11.858	9.107	2.751
0.0138	11.403	8.711	2.692
0.0138	10.941	8.309	2.632
0.0138	10.49	7.915	2.575
0.0138	10.034	7.532	2.502
0.0138	8.962	6.736	2.226
0.0138	7.141	5.537	1.604
0.0138	5.306	4.311	0.995
0.0138	3.851	3.245	0.606
0.0138	3.412	2.915	0.497
0.0138	2.804	2.471	0.333
0.0138	2.302	2.133	0.169
0.0138	2.004	1.935	0.069
0.0138	1.808	1.792	0.016
0.0138	1.433	1.535	-0.102
0.0138	1.006	1.22	-0.214
0.0138	0.435	0.775	-0.34
0.0138	-0.011	0.419	-0.43
0.0138	-0.372	0.126	-0.498
0.0138	-0.679	-0.125	-0.554
0.0138	-0.956	-0.354	-0.602
0.0138	-1.439	-0.758	-0.681
0.0138	-1.841	-1.097	-0.744
0.0138	-2.529	-1.696	-0.833
0.0138	-3.475	-2.524	-0.951
0.0138	-4.086	-3.076	-1.01
0.0138	-4.767	-3.72	-1.047
0.0138	-5.413	-4.339	-1.074
0.0138	-6.331	-5.233	-1.098
0.019	15.348	12.115	3.233
0.019	14.25	11.175	3.075
0.019	13.576	10.581	2.995
0.019	13.019	10.118	2.901
0.019	12.532	9.715	2.817
0.019	12.051	9.308	2.743
0.019	11.602	8.901	2.701
0.019	11.139	8.48	2.659
0.019	10.68	8.064	2.616
0.019	10.239	7.674	2.565
0.019	9.232	6.878	2.354
0.019	8.136	6.108	2.028
0.019	7.074	5.429	1.645
0.019	6.21	4.875	1.335
0.019	5.513	4.391	1.122
0.019	4.766	3.86	0.906
0.019	4.212	3.449	0.763
0.019	3.738	3.093	0.645
0.019	3.332	2.797	0.535
0.019	2.943	2.52	0.423
0.019	2.592	2.273	0.319
0.019	2.303	2.082	0.221
0.019	1.955	1.854	0.101
0.019	1.775	1.715	0.06
0.019	1.47	1.517	-0.047
0.019	1.025	1.194	-0.169
0.019	0.43	0.738	-0.308
0.019	-0.031	0.372	-0.403
0.019	-0.401	0.075	-0.476
